ticker,name,2025-12-17_P,2025-12-17_V,2025-12-18_P,2025-12-18_V,2025-12-19_P,2025-12-19_V,2025-12-22_P,2025-12-22_V,2025-12-23_P,2025-12-23_V,2025-12-24_P,2025-12-24_V,2025-12-26_P,2025-12-26_V,2025-12-29_P,2025-12-29_V,2025-12-30_P,2025-12-30_V,2026-01-02_P,2026-01-02_V,2026-01-05_P,2026-01-05_V,2026-01-06_P,2026-01-06_V,2026-01-07_P,2026-01-07_V,2026-01-08_P,2026-01-08_V,2026-01-09_P,2026-01-09_V,2026-01-12_P,2026-01-12_V,2026-01-13_P,2026-01-13_V,2026-01-14_P,2026-01-14_V,2026-01-15_P,2026-01-15_V,2026-01-16_P,2026-01-16_V,2026-01-19_P,2026-01-19_V,2026-01-20_P,2026-01-20_V,2026-01-21_P,2026-01-21_V,2026-01-22_P,2026-01-22_V,2026-01-23_P,2026-01-23_V,2026-01-26_P,2026-01-26_V,2026-01-27_P,2026-01-27_V,2026-01-28_P,2026-01-28_V,2026-01-29_P,2026-01-29_V,2026-01-30_P,2026-01-30_V
491610,1Q CD금리액티브(합성),102835.0,3616.0,102860.0,198508.0,102885.0,3451.0,102885.0,3495.0,102885.0,5999.0,102915.0,3310.0,102920.0,5807.0,102940.0,6743.0,102975.0,4996.0,102985.0,6378.0,102990.0,7070.0,102995.0,2456.0,103005.0,3769.0,103030.0,4793.0,103040.0,2783.0,103040.0,6464.0,103045.0,9510.0,103055.0,9951.0,103085.0,4882.0,103090.0,5603.0,103105.0,15778.0,103110.0,9305.0,103110.0,4814.0,103130.0,2232.0,103130.0,2911.0,103135.0,6367.0,103145.0,8570.0,103155.0,4986.0,103175.0,4445.0,103185.0,7222.0
451060,1Q 200액티브,18700.0,20733.0,18480.0,23589.0,18590.0,22929.0,19025.0,27587.0,19075.0,15993.0,19075.0,26527.0,19225.0,17781.0,19725.0,268759.0,19795.0,75541.0,20380.0,289877.0,21135.0,129943.0,21530.0,48354.0,21690.0,95839.0,21670.0,72929.0,21870.0,49612.0,21990.0,70981.0,22270.0,37490.0,22395.0,68834.0,22750.0,73785.0,23020.0,157055.0,23340.0,83136.0,23130.0,79493.0,23320.0,79587.0,23590.0,87858.0,23735.0,95508.0,23510.0,134799.0,24310.0,116669.0,24805.0,153812.0,24870.0,129776.0,25000.0,219553.0
0103T0,1Q K소버린AI,9595.0,164251.0,9555.0,194541.0,9755.0,166492.0,9885.0,121495.0,9825.0,180557.0,9860.0,115529.0,9740.0,133920.0,10015.0,212477.0,10005.0,152734.0,10245.0,317852.0,10275.0,214012.0,10500.0,441922.0,10260.0,238102.0,10110.0,207299.0,10275.0,138613.0,10310.0,194568.0,10635.0,302414.0,10505.0,207435.0,10370.0,251468.0,10325.0,255668.0,10370.0,263691.0,10470.0,236937.0,10330.0,203449.0,10300.0,230740.0,10820.0,800921.0,10945.0,595275.0,11110.0,666874.0,11020.0,342790.0,11250.0,373142.0,11025.0,300260.0
463290,1Q 단기금융채액티브,108895.0,5352.0,108905.0,12077.0,108920.0,2686.0,108940.0,7417.0,108950.0,13268.0,108975.0,4957.0,108990.0,8795.0,107195.0,5087.0,107215.0,1963.0,107235.0,30997.0,107260.0,18277.0,107272.0,3254.0,107280.0,5582.0,107300.0,11067.0,107310.0,6674.0,107325.0,7772.0,107335.0,3453.0,107345.0,20207.0,107370.0,9010.0,107375.0,6930.0,107380.0,2447.0,107400.0,4006.0,107405.0,3222.0,107430.0,8256.0,107435.0,3431.0,107450.0,38557.0,107450.0,4029.0,107460.0,1711.0,107460.0,9050.0,107475.0,9863.0
0131W0,1Q 단기특수은행채액티브,100190.0,260.0,100210.0,17.0,100225.0,616.0,100225.0,52.0,100235.0,63.0,100240.0,6042.0,100245.0,105.0,100265.0,10.0,100300.0,173.0,100315.0,2098.0,100330.0,10772.0,100345.0,10162.0,100355.0,10686.0,100380.0,55.0,100390.0,10607.0,100400.0,618.0,100415.0,461.0,100420.0,12962.0,100440.0,105.0,100445.0,57.0,100450.0,128.0,100455.0,2272.0,100460.0,460.0,100485.0,586.0,100495.0,166.0,100497.0,327.0,100505.0,3741.0,100510.0,28045.0,100525.0,87.0,100525.0,30542.0
479080,1Q 머니마켓액티브,52555.0,23848.0,52560.0,122977.0,52575.0,17890.0,52580.0,74635.0,52585.0,83836.0,52600.0,40281.0,52605.0,77219.0,52615.0,78046.0,52620.0,31758.0,52635.0,81390.0,52645.0,55097.0,52645.0,91002.0,52650.0,61099.0,52670.0,107171.0,52675.0,69783.0,52680.0,60345.0,52690.0,38910.0,52690.0,55531.0,52700.0,106302.0,52710.0,101608.0,52715.0,120442.0,52720.0,140765.0,52725.0,76819.0,52730.0,142890.0,52740.0,46070.0,52740.0,58413.0,52745.0,49624.0,52750.0,59755.0,52755.0,47013.0,52765.0,44254.0
0026S0,1Q 미국S&P500,12240.0,141442.0,12100.0,247227.0,12160.0,414628.0,12325.0,252885.0,12390.0,150436.0,12205.0,371747.0,12140.0,309023.0,12050.0,377059.0,12085.0,330564.0,12055.0,418283.0,12050.0,446925.0,12145.0,249367.0,12205.0,705602.0,12155.0,245398.0,12260.0,192186.0,12355.0,254788.0,12485.0,303801.0,12475.0,308312.0,12385.0,357761.0,12470.0,355871.0,12325.0,353147.0,12315.0,449833.0,12190.0,494992.0,12290.0,269477.0,12345.0,154929.0,12095.0,880313.0,12220.0,312604.0,12105.0,391904.0,12110.0,238605.0,12095.0,301670.0
0052S0,1Q 미국S&P500미국채혼합50액티브,11635.0,246200.0,11570.0,282771.0,11605.0,234548.0,11690.0,303374.0,11735.0,329870.0,11525.0,660862.0,11450.0,403864.0,11375.0,391165.0,11410.0,353743.0,11425.0,489179.0,11430.0,511568.0,11470.0,358900.0,11525.0,769374.0,11490.0,266103.0,11580.0,209131.0,11665.0,446524.0,11745.0,456008.0,11760.0,338317.0,11705.0,413945.0,11755.0,431142.0,11670.0,486868.0,11695.0,354375.0,11600.0,563079.0,11645.0,576825.0,11650.0,523196.0,11435.0,531799.0,11510.0,375374.0,11365.0,627325.0,11330.0,441559.0,11390.0,407588.0
0069M0,1Q 미국나스닥100,12365.0,134401.0,12150.0,239303.0,12290.0,605332.0,12510.0,285617.0,12535.0,105088.0,12330.0,194620.0,12290.0,237176.0,12185.0,210071.0,12195.0,356651.0,12195.0,283717.0,12140.0,370103.0,12235.0,272844.0,12300.0,661415.0,12290.0,162823.0,12350.0,116805.0,12450.0,180177.0,12600.0,407812.0,12600.0,179200.0,12465.0,423987.0,12550.0,185752.0,12360.0,312917.0,12345.0,240933.0,12245.0,245792.0,12370.0,489000.0,12450.0,153348.0,12225.0,338811.0,12390.0,184781.0,12350.0,226290.0,12360.0,132490.0,12255.0,180480.0
0111P0,1Q 미국나스닥100미국채혼합50액티브,10620.0,183505.0,10525.0,263179.0,10585.0,216022.0,10680.0,266456.0,10710.0,263431.0,10515.0,583916.0,10455.0,413748.0,10390.0,288745.0,10420.0,283347.0,10420.0,495762.0,10415.0,498604.0,10450.0,372099.0,10480.0,400378.0,10485.0,385137.0,10545.0,171837.0,10625.0,461611.0,10710.0,413959.0,10725.0,367208.0,10640.0,517005.0,10695.0,393549.0,10610.0,612272.0,10615.0,421059.0,10545.0,523521.0,10600.0,342794.0,10620.0,523377.0,10440.0,504753.0,10520.0,344746.0,10425.0,476464.0,10405.0,346870.0,10400.0,388115.0
0083S0,1Q 미국메디컬AI,11950.0,80246.0,11910.0,81820.0,11845.0,98986.0,11985.0,121311.0,12135.0,187383.0,11860.0,107063.0,11795.0,101816.0,11575.0,99034.0,11535.0,110969.0,11470.0,135837.0,11630.0,142452.0,11725.0,144937.0,12100.0,129931.0,12335.0,148931.0,12260.0,96665.0,12270.0,322659.0,12350.0,181631.0,12240.0,125886.0,12385.0,153839.0,12275.0,159230.0,12110.0,195688.0,12005.0,198195.0,11860.0,217842.0,11950.0,159873.0,12305.0,217400.0,11795.0,266597.0,11970.0,142658.0,11815.0,209403.0,11560.0,209248.0,11335.0,201103.0
