ticker,name,price_curr,change_1d,return_1w,alpha_1m,rvol,grade_score,description
488080,TIGER 반도체TOP10레버리지,31190,-17.8,20.17,90.48,313.5,S10,천하무적: 시장의 주도주
494310,KODEX 반도체레버리지,50220,-15.88,20.43,78.57,257.3,S10,천하무적: 시장의 주도주
0100K0,KODEX K방산TOP10레버리지,12640,-9.75,-6.75,51.45,109.2,B7,황금 눌림목: 최적 매수 타점
243880,TIGER 200IT레버리지,141310,-14.91,6.77,51.4,162.5,S9,천하무적: 시장의 주도주
421320,PLUS 우주항공&UAM,41450,-3.38,6.75,50.68,194.2,S8,천하무적: 시장의 주도주
0104G0,PLUS K방산레버리지,12460,-10.39,-7.6,48.66,140.8,B8,황금 눌림목: 최적 매수 타점
306950,KODEX KRX300레버리지,51240,-13.03,1.13,34.82,282.7,S10,천하무적: 시장의 주도주
122630,KODEX 레버리지,67460,-11.68,0.69,34.54,162.4,B9,황금 눌림목: 최적 매수 타점
304780,HANARO 200선물레버리지,74940,-12.03,0.13,33.76,62.6,B10,황금 눌림목: 최적 매수 타점
267770,TIGER 200선물레버리지,51385,-11.68,0.84,33.5,525.9,S10,천하무적: 시장의 주도주
306530,HANARO 코스닥150선물레버리지,17535,-11.88,8.54,33.03,401.9,S9,천하무적: 시장의 주도주
252400,RISE 200선물레버리지,61520,-11.94,0.42,33.02,561.5,B10,황금 눌림목: 최적 매수 타점
291630,KIWOOM 코스닥150선물레버리지,8725,-12.4,8.39,32.91,263.8,S9,천하무적: 시장의 주도주
123320,TIGER 레버리지,66650,-11.87,0.47,32.87,572.8,B10,황금 눌림목: 최적 매수 타점
278240,RISE 코스닥150선물레버리지,19735,-11.6,9.34,32.79,354.1,S9,천하무적: 시장의 주도주
253250,KIWOOM 200선물레버리지,60580,-12.0,0.4,32.7,320.8,B10,황금 눌림목: 최적 매수 타점
233740,KODEX 코스닥150레버리지,17460,-11.46,8.28,32.63,341.1,S9,천하무적: 시장의 주도주
253150,PLUS 200선물레버리지,123795,-11.87,0.49,32.63,831.9,B10,황금 눌림목: 최적 매수 타점
152500,ACE 레버리지,27325,-11.6,0.79,32.47,457.6,S10,천하무적: 시장의 주도주
233160,TIGER 코스닥150 레버리지,19380,-11.61,8.0,31.0,491.5,S9,천하무적: 시장의 주도주
396500,TIGER 반도체TOP10,27235,-8.48,10.82,24.31,306.0,S10,천하무적: 시장의 주도주
091230,TIGER 반도체,86015,-7.29,12.16,20.45,241.8,S10,천하무적: 시장의 주도주
494220,UNICORN SK하이닉스밸류체인액티브,27875,-8.31,11.57,19.77,179.3,S9,천하무적: 시장의 주도주
475300,SOL 반도체전공정,15570,-9.27,15.25,19.56,355.0,S10,천하무적: 시장의 주도주
469150,ACE AI반도체포커스,35590,-8.61,8.41,19.13,154.4,S9,천하무적: 시장의 주도주
091160,KODEX 반도체,81250,-7.88,10.63,18.83,254.2,S10,천하무적: 시장의 주도주
471760,TIGER AI반도체핵심공정,15565,-9.03,10.7,18.41,358.6,S10,천하무적: 시장의 주도주
0093A0,RISE AI반도체TOP10,22430,-9.47,13.86,17.57,154.9,S9,천하무적: 시장의 주도주
463250,TIGER K방산&우주,39640,-5.51,-1.38,17.0,140.8,B8,황금 눌림목: 최적 매수 타점
442580,PLUS 글로벌HBM반도체,54795,-7.81,2.93,15.96,221.6,S10,천하무적: 시장의 주도주
395270,HANARO Fn K-반도체,27130,-7.06,8.43,15.16,213.6,S10,천하무적: 시장의 주도주
476260,HANARO 반도체핵심공정주도주,11115,-9.38,11.43,14.44,333.7,S10,천하무적: 시장의 주도주
395160,KODEX AI반도체,23065,-8.13,8.39,14.13,256.2,S10,천하무적: 시장의 주도주
488210,KIWOOM K-반도체북미공급망,16875,-8.71,10.62,13.0,39.7,S7,천하무적: 시장의 주도주
445290,KODEX 로봇액티브,34280,-5.56,-1.61,12.82,160.9,B8,황금 눌림목: 최적 매수 타점
490480,SOL K방산,33210,-5.11,-2.62,12.8,196.5,B8,황금 눌림목: 최적 매수 타점
261060,TIGER 코스닥150IT,22080,-7.81,12.97,12.51,560.4,S10,천하무적: 시장의 주도주
469070,RISE AI&로봇,17450,-5.34,-3.96,12.27,115.6,B7,황금 눌림목: 최적 매수 타점
0000J0,PLUS 한화그룹주,31770,-3.86,-1.21,11.95,112.3,B7,황금 눌림목: 최적 매수 타점
292150,TIGER 코리아TOP10,26520,-6.04,3.49,11.3,183.1,S9,천하무적: 시장의 주도주
157500,TIGER 증권,13955,-6.37,8.68,10.77,221.9,S10,천하무적: 시장의 주도주
102970,KODEX 증권,20410,-6.46,9.03,10.58,207.0,S10,천하무적: 시장의 주도주
0005D0,SOL 전고체배터리&실리콘음극재,17570,-3.91,-0.85,10.37,191.2,B8,황금 눌림목: 최적 매수 타점
315960,RISE 대형고배당10TR,49610,-5.65,2.95,10.15,171.2,S9,천하무적: 시장의 주도주
0111J0,HANARO 증권고배당TOP3플러스,13380,-6.47,9.0,9.97,205.4,S9,천하무적: 시장의 주도주
475310,SOL 반도체후공정,23005,-8.58,12.03,9.0,411.4,S9,천하무적: 시장의 주도주
474590,WON 반도체밸류체인액티브,24155,-7.98,7.62,8.83,186.9,S8,천하무적: 시장의 주도주
487750,BNK 온디바이스AI,18140,-7.33,6.39,8.75,55.2,S6,천하무적: 시장의 주도주
0080G0,KODEX K방산TOP10,12450,-5.36,-3.41,8.59,150.5,B7,황금 눌림목: 최적 매수 타점
139260,TIGER 200 IT,69735,-7.48,3.56,8.43,157.1,S8,천하무적: 시장의 주도주
455850,SOL AI반도체소부장,21650,-8.63,10.74,8.36,303.6,S9,천하무적: 시장의 주도주
449450,PLUS K방산,65130,-4.93,-3.81,8.15,172.8,B7,황금 눌림목: 최적 매수 타점
363580,KODEX 200IT TR,27480,-7.89,3.27,8.11,232.4,S9,천하무적: 시장의 주도주
266370,KODEX IT,37520,-6.79,4.47,6.98,236.2,S9,천하무적: 시장의 주도주
486240,DAISHIN343 AI반도체&인프라액티브,18140,-9.14,4.86,6.45,156.2,S8,천하무적: 시장의 주도주
315930,KODEX Top5PlusTR,53150,-5.5,1.54,6.43,166.3,S8,천하무적: 시장의 주도주
446690,KODEX 아시아AI반도체exChina액티브,36200,-5.66,3.52,6.0,147.1,S7,천하무적: 시장의 주도주
487130,KoAct AI인프라액티브,19360,-7.52,4.82,5.96,242.6,S9,천하무적: 시장의 주도주
385720,TIME 코스피액티브,18510,-6.28,2.41,5.36,172.2,S8,천하무적: 시장의 주도주
469790,KIWOOM K-테크TOP10,24190,-6.94,3.64,5.29,182.7,S8,천하무적: 시장의 주도주
466930,SOL 자동차TOP3플러스,19385,-3.65,-3.87,5.26,74.3,B7,황금 눌림목: 최적 매수 타점
495550,SOL 코리아밸류업TR,22105,-5.61,3.29,5.08,244.5,S9,천하무적: 시장의 주도주
495330,1Q 코리아밸류업,21595,-5.95,3.03,4.99,388.9,S8,천하무적: 시장의 주도주
495040,PLUS 코리아밸류업,21545,-5.75,3.14,4.89,117.5,S6,천하무적: 시장의 주도주
495050,RISE 코리아밸류업,21700,-5.88,3.14,4.83,174.6,S7,천하무적: 시장의 주도주
496080,TIGER 코리아밸류업,21700,-5.71,3.11,4.79,256.3,S8,천하무적: 시장의 주도주
138540,TIGER 현대차그룹플러스,54480,-3.63,-4.82,4.76,132.5,B5,박스권 에너지 응축 중
496120,ACE 코리아밸류업,21975,-5.63,3.07,4.73,265.2,S8,천하무적: 시장의 주도주
290130,RISE ESG사회책임투자,29165,-5.98,2.6,4.46,93.5,S6,천하무적: 시장의 주도주
495850,KODEX 코리아밸류업,21620,-5.75,2.71,4.26,206.3,S8,천하무적: 시장의 주도주
496090,KIWOOM 코리아밸류업,21575,-5.95,2.57,4.23,202.7,S8,천하무적: 시장의 주도주
495060,TIME 코리아밸류업액티브,19840,-6.59,3.01,4.15,263.1,S8,천하무적: 시장의 주도주
495230,KoAct 코리아밸류업액티브,22025,-5.59,2.75,4.05,216.9,S8,천하무적: 시장의 주도주
495750,HANARO 코리아밸류업,21495,-6.26,3.17,4.02,237.4,S8,천하무적: 시장의 주도주
122090,PLUS 코스피50,52925,-5.84,0.95,4.01,198.7,S6,천하무적: 시장의 주도주
0138D0,RISE 동학개미,12705,-4.9,0.28,3.85,33.8,B7,황금 눌림목: 최적 매수 타점
275300,KODEX 우량주,19465,-6.12,3.07,3.57,618.7,S8,천하무적: 시장의 주도주
457930,BNK 미래전략기술액티브,24820,-5.18,-0.32,3.23,24.7,B7,황금 눌림목: 최적 매수 타점
310970,TIGER MSCI Korea TR,31940,-5.45,1.14,3.22,215.4,S8,천하무적: 시장의 주도주
0091P0,TIGER 코리아원자력,13700,-4.13,-4.43,3.08,102.1,B5,박스권 에너지 응축 중
278540,KODEX MSCI Korea TR,25305,-5.98,0.6,3.01,174.6,B7,황금 눌림목: 최적 매수 타점
289250,TIGER MSCI KOREA ESG유니버설,21615,-7.07,1.72,2.96,639.1,S7,천하무적: 시장의 주도주
289040,KODEX MSCI KOREA ESG유니버설,21635,-6.44,2.24,2.92,145.6,S6,천하무적: 시장의 주도주
450190,KODEX 한중반도체(합성),33855,-6.02,4.04,2.78,136.5,S5,안정적 추세 유지 중
325010,KODEX 성장주,29605,-6.24,2.46,2.75,105.2,S5,안정적 추세 유지 중
237350,KODEX 코스피100,57735,-5.68,0.96,2.6,229.8,S7,천하무적: 시장의 주도주
140950,파워 코스피100,56500,-5.86,0.94,2.6,222.2,S7,천하무적: 시장의 주도주
471990,KODEX AI반도체핵심장비,19165,-7.64,8.28,2.6,204.3,S7,천하무적: 시장의 주도주
337160,KODEX 200ESG,29725,-5.78,1.42,2.47,140.1,S6,천하무적: 시장의 주도주
156080,KODEX MSCI Korea,34100,-6.24,0.4,2.4,232.2,B7,황금 눌림목: 최적 매수 타점
332940,HANARO MSCI Korea TR,31570,-6.32,0.93,2.35,302.0,S7,천하무적: 시장의 주도주
449690,TIGER 한중반도체(합성),33415,-5.98,3.66,2.34,186.7,S5,안정적 추세 유지 중
326240,RISE IT플러스,30020,-5.79,2.83,2.23,106.1,S5,안정적 추세 유지 중
153270,KIWOOM 코스피100,55505,-5.69,0.49,2.05,218.8,B7,황금 눌림목: 최적 매수 타점
159800,마이티 코스피100,57255,-5.88,0.62,1.89,65.3,B7,황금 눌림목: 최적 매수 타점
482030,KoAct 반도체&2차전지핵심소재액티브,11535,-6.22,2.9,1.77,170.8,S5,안정적 추세 유지 중
387280,TIGER 퓨처모빌리티액티브,11555,-5.4,1.45,1.7,131.4,S6,천하무적: 시장의 주도주
0112X0,마이티 200TR,27305,-5.49,0.91,1.68,184.1,S6,천하무적: 시장의 주도주
100910,KIWOOM KRX100,11445,-6.19,0.22,1.63,343.1,B7,황금 눌림목: 최적 매수 타점
491700,HK 200,73725,-5.75,1.05,1.41,100.7,S5,안정적 추세 유지 중
385520,KODEX 자율주행액티브,14090,-4.51,-0.77,1.35,117.0,B4,박스권 에너지 응축 중
385710,TIME K이노베이션액티브,12405,-3.61,1.47,1.29,209.4,S6,천하무적: 시장의 주도주
448100,WON 200,74980,-5.7,0.65,1.26,887.1,B7,황금 눌림목: 최적 매수 타점
472840,ITF 200,72825,-5.56,0.87,1.17,181.9,S6,천하무적: 시장의 주도주
0098Z0,FOCUS 200,62640,-6.08,1.62,1.14,35.6,S4,안정적 추세 유지 중
294400,KIWOOM 200TR,95100,-5.78,0.97,1.11,315.6,S7,천하무적: 시장의 주도주
278530,KODEX 200TR,26200,-5.74,0.83,1.1,250.7,S7,천하무적: 시장의 주도주
361580,RISE 200TR,41155,-5.9,0.81,1.06,295.8,S7,천하무적: 시장의 주도주
292050,RISE KRX300,34455,-5.85,0.72,1.04,86.8,B5,박스권 에너지 응축 중
232080,TIGER 코스닥150,19705,-5.72,4.76,1.04,311.5,S6,천하무적: 시장의 주도주
152870,파워 200,73670,-6.24,0.7,1.04,108.8,B5,박스권 에너지 응축 중
275280,KODEX 모멘텀주,28810,-6.54,1.12,1.03,478.5,S7,천하무적: 시장의 주도주
0092B0,SOL 한국원자력SMR,13680,-4.27,-3.87,1.0,75.7,B6,황금 눌림목: 최적 매수 타점
494890,KODEX 200액티브,21070,-5.73,0.86,0.95,276.8,S6,천하무적: 시장의 주도주
491220,PLUS 200TR,86090,-6.18,0.9,0.95,605.4,S6,천하무적: 시장의 주도주
229200,KODEX 코스닥150,19295,-5.88,4.67,0.88,323.7,S5,안정적 추세 유지 중
332500,ACE 200TR,48715,-5.9,0.5,0.87,295.4,B6,황금 눌림목: 최적 매수 타점
376410,TIGER 탄소효율그린뉴딜,17320,-5.3,0.67,0.87,277.7,B6,황금 눌림목: 최적 매수 타점
304770,HANARO 코스닥150,19240,-5.82,4.48,0.85,383.3,S5,안정적 추세 유지 중
391670,HK 베스트일레븐액티브,19320,-4.73,-0.28,0.79,536.0,B5,박스권 에너지 응축 중
295040,SOL 200TR,27135,-5.86,0.74,0.79,169.2,B5,박스권 에너지 응축 중
375770,KODEX 탄소효율그린뉴딜,17475,-5.64,0.92,0.79,231.5,S6,천하무적: 시장의 주도주
442260,마이티 다이나믹퀀트액티브,25355,-5.85,1.34,0.76,14.6,S3,안정적 추세 유지 중
444200,SOL 코리아메가테크액티브,38530,-5.24,-1.36,0.74,134.4,B4,박스권 에너지 응축 중
105190,ACE 200,73160,-5.78,0.54,0.74,224.5,B6,황금 눌림목: 최적 매수 타점
148020,RISE 200,73335,-5.78,0.53,0.7,244.9,B6,황금 눌림목: 최적 매수 타점
332930,HANARO 200TR,94800,-6.12,0.55,0.67,62.6,B6,황금 눌림목: 최적 매수 타점
293180,HANARO 200,73005,-5.81,0.6,0.65,214.5,B6,황금 눌림목: 최적 매수 타점
450910,SOL 코스닥150,18850,-5.75,4.11,0.64,493.4,S5,안정적 추세 유지 중
301400,PLUS 코스닥150,19450,-5.97,4.6,0.63,443.7,S5,안정적 추세 유지 중
434960,DAISHIN343 K200,73475,-5.83,0.57,0.63,105.4,B4,박스권 에너지 응축 중
069500,KODEX 200,72700,-5.96,0.55,0.62,194.7,B5,박스권 에너지 응축 중
270810,RISE 코스닥150,19130,-5.88,4.68,0.59,363.7,S5,안정적 추세 유지 중
152100,PLUS 200,73960,-5.78,0.56,0.58,270.8,B6,황금 눌림목: 최적 매수 타점
292500,SOL KRX300,34215,-5.56,0.99,0.58,21.1,S3,안정적 추세 유지 중
462330,KODEX 2차전지산업레버리지,1783,-10.18,-7.86,0.58,224.7,B5,박스권 에너지 응축 중
069660,KIWOOM 200,72595,-6.05,0.48,0.57,539.0,B6,황금 눌림목: 최적 매수 타점
0007N0,아이엠에셋 200,73755,-5.76,0.97,0.55,21.6,S3,안정적 추세 유지 중
102110,TIGER 200,72665,-5.83,0.39,0.49,316.7,B6,황금 눌림목: 최적 매수 타점
108590,TREX 200,72665,-5.92,0.49,0.48,295.0,B6,황금 눌림목: 최적 매수 타점
316670,KIWOOM 코스닥150,9615,-6.01,4.57,0.44,359.4,S5,안정적 추세 유지 중
354500,ACE 코스닥150,19420,-5.84,4.46,0.43,402.7,S5,안정적 추세 유지 중
0098F0,KODEX K원자력SMR,14080,-3.96,-3.46,0.38,128.3,B4,박스권 에너지 응축 중
404120,TIME K신재생에너지액티브,21140,-6.58,-1.54,0.37,45.0,B5,박스권 에너지 응축 중
292190,KODEX KRX300,33530,-6.05,0.87,0.31,322.5,S6,천하무적: 시장의 주도주
292160,TIGER KRX300,33695,-5.76,0.84,0.18,596.2,S6,천하무적: 시장의 주도주
367770,RISE 수소경제테마,22055,-4.91,-4.44,0.16,168.7,B4,박스권 에너지 응축 중
337140,KODEX 코스피대형주,25400,-5.58,0.1,0.12,197.7,B5,박스권 에너지 응축 중
451060,1Q 200액티브,23545,-5.82,0.15,0.08,261.6,B6,황금 눌림목: 최적 매수 타점
277640,TIGER 코스피대형주,26210,-5.69,0.15,-0.19,233.0,F5,시장 소외주: 관망 권고
304760,HANARO KRX300,32850,-6.18,0.84,-0.2,125.1,A4,추세 전환 시도 중
310960,TIGER 200TR,42380,-5.91,0.72,-0.25,296.7,F5,시장 소외주: 관망 권고
461450,KODEX 코스닥글로벌,18295,-6.47,6.71,-0.5,379.2,A4,추세 전환 시도 중
275290,KODEX 가치주,21510,-5.78,2.75,-0.61,979.1,A5,추세 전환 시도 중
446770,ACE 글로벌반도체TOP4 Plus,54960,-3.92,3.41,-1.38,99.9,A2,추세 전환 시도 중
469160,ACE 일본반도체,20175,-3.58,1.84,-1.67,129.2,A3,추세 전환 시도 중
461580,TIGER 코스닥글로벌,18555,-6.29,6.61,-1.7,197.5,A3,추세 전환 시도 중
367760,RISE 네트워크인프라,26750,-5.39,4.21,-1.74,72.1,A2,추세 전환 시도 중
337120,KODEX 멀티팩터,24535,-5.23,1.32,-1.8,67.7,A2,추세 전환 시도 중
423170,SOL 한국형글로벌반도체액티브,37040,-4.66,2.01,-1.88,146.7,A4,추세 전환 시도 중
471780,TIGER 코리아테크액티브,20920,-5.79,5.18,-1.95,366.8,A5,추세 전환 시도 중
0005G0,ITF K-AI반도체코어테크,24220,-5.46,3.79,-2.26,240.4,A5,추세 전환 시도 중
0094M0,RISE 코리아밸류업위클리고정커버드콜,14940,-5.83,1.77,-2.88,343.8,A5,추세 전환 시도 중
359210,KODEX 코스피TR,25455,-5.46,0.06,-3.16,816.3,F5,시장 소외주: 관망 권고
227830,PLUS 코스피,51325,-5.75,-0.08,-3.25,325.4,F5,시장 소외주: 관망 권고
462010,TIGER 2차전지소재Fn,6840,-3.66,1.63,-3.3,241.8,A4,추세 전환 시도 중
422420,RISE 2차전지액티브,8430,-5.39,1.69,-3.36,160.1,A3,추세 전환 시도 중
441800,TIME Korea플러스배당액티브,23550,-5.57,4.32,-3.55,257.6,A5,추세 전환 시도 중
365040,TIGER AI코리아그로스액티브,24980,-5.49,-0.08,-3.73,282.0,F5,시장 소외주: 관망 권고
395760,PLUS ESG성장주액티브,15890,-5.08,0.41,-4.34,202.4,F5,시장 소외주: 관망 권고
388420,RISE 비메모리반도체액티브,18690,-6.55,8.16,-4.37,167.6,A4,추세 전환 시도 중
367740,HANARO Fn5G산업,24795,-5.61,3.79,-4.64,368.7,A5,추세 전환 시도 중
498400,KODEX 200타겟위클리커버드콜,15795,-5.67,0.22,-5.78,221.1,F5,시장 소외주: 관망 권고
289260,TIGER MSCI KOREA ESG리더스,18635,-5.43,1.83,-5.89,870.0,A5,추세 전환 시도 중
147970,TIGER 모멘텀,60020,-5.03,0.68,-6.06,254.8,F5,시장 소외주: 관망 권고
244620,KODEX 모멘텀Plus,17605,-7.15,2.86,-6.54,322.8,A5,추세 전환 시도 중
234310,RISE V&S셀렉트밸류,23560,-5.08,-0.72,-6.54,766.3,F5,시장 소외주: 관망 권고
494330,ACE 라이프자산주주가치액티브,18390,-5.23,1.77,-6.54,173.9,A3,추세 전환 시도 중
183710,RISE 주식혼합,68010,-4.59,0.86,-6.62,137.1,A4,추세 전환 시도 중
496130,TRUSTON 코리아밸류업액티브,18810,-6.25,0.91,-8.2,148.0,A4,추세 전환 시도 중
140580,RISE 우량업종대표주,21075,-4.92,0.89,-8.23,536.5,A5,추세 전환 시도 중
0115E0,KODEX 코리아소버린AI,12210,-5.17,0.83,-8.67,161.6,A3,추세 전환 시도 중
471040,KoAct 글로벌AI&로봇액티브,23380,-3.98,0.88,-9.69,100.8,A2,추세 전환 시도 중
470310,UNICORN 생성형AI강소기업액티브,13005,-5.21,3.01,-9.8,408.3,A5,추세 전환 시도 중
456600,TIME 글로벌AI인공지능액티브,39900,-5.09,0.77,-9.94,129.9,A3,추세 전환 시도 중
105010,TIGER 라틴35,6645,-1.77,1.3,-10.55,210.4,A4,추세 전환 시도 중
270800,RISE KQ고배당,15465,-3.07,5.64,-10.61,101.8,A3,추세 전환 시도 중
475070,KoAct 글로벌친환경전력인프라액티브,28595,-2.26,1.54,-10.64,160.0,A3,추세 전환 시도 중
211900,KODEX 코리아배당성장,25175,-4.0,1.78,-11.05,154.3,A3,추세 전환 시도 중
211560,TIGER 배당성장,31380,-4.21,1.7,-11.11,196.1,A4,추세 전환 시도 중
279540,KODEX 최소변동성,17310,-5.44,1.85,-11.27,26.1,A2,추세 전환 시도 중
498860,RISE 코리아금융고배당,16955,-3.86,4.21,-11.91,203.8,A4,추세 전환 시도 중
0015B0,KoAct 미국나스닥성장기업액티브,15650,-3.31,1.03,-12.17,110.1,A2,추세 전환 시도 중
0008T0,SOL 화장품TOP3플러스,14515,-2.02,0.94,-12.4,164.1,A3,추세 전환 시도 중
407300,HANARO Fn골프테마,10785,-4.05,0.61,-12.41,437.7,F5,시장 소외주: 관망 권고
445910,TIGER MKF배당귀족,19365,-3.56,2.76,-12.71,409.7,A5,추세 전환 시도 중
0117V0,TIGER 코리아AI전력기기TOP3플러스,13875,-8.72,-1.67,-13.65,201.2,F5,시장 소외주: 관망 권고
491820,HANARO 전력설비투자,31205,-9.24,-2.3,-14.1,265.0,F5,시장 소외주: 관망 권고
487240,KODEX AI전력핵심설비,25760,-9.3,-2.92,-14.54,244.1,F5,시장 소외주: 관망 권고
438740,마이다스 중소형액티브,34200,-4.81,1.11,-14.59,47.7,A2,추세 전환 시도 중
139270,TIGER 200 금융,14060,-1.58,1.48,-15.21,130.7,A3,추세 전환 시도 중
161510,PLUS 고배당주,23630,-2.76,1.68,-15.5,160.5,A3,추세 전환 시도 중
104530,KIWOOM 고배당,17450,-4.28,2.92,-15.72,320.3,A5,추세 전환 시도 중
0088N0,WON K-글로벌수급상위,12195,-4.43,1.04,-15.76,134.1,A3,추세 전환 시도 중
433220,에셋플러스 글로벌대장장이액티브,27265,-0.91,2.52,-16.02,140.7,A4,추세 전환 시도 중
401470,KODEX 메타버스액티브,8620,-5.33,-1.71,-16.03,376.9,F5,시장 소외주: 관망 권고
399580,RISE 글로벌클린에너지,9910,0.56,0.81,-16.04,138.5,A3,추세 전환 시도 중
464610,SOL 의료기기소부장Fn,11550,-4.23,3.49,-16.27,71.2,A1,단기 반짝 가능성 체크
0105E0,SOL 코리아고배당,11880,-2.54,0.89,-16.51,182.8,A3,추세 전환 시도 중
183700,RISE 채권혼합,79890,-2.96,0.11,-16.83,209.0,F5,시장 소외주: 관망 권고
322410,HANARO K고배당,20640,-2.23,1.65,-16.84,193.4,A3,추세 전환 시도 중
279530,KODEX 고배당주,15450,-2.46,2.79,-16.97,167.9,A4,추세 전환 시도 중
210780,TIGER 코스피고배당,22500,-3.39,1.1,-17.55,238.9,A4,추세 전환 시도 중
192720,파워 고배당저변동성,52340,-2.25,2.06,-17.56,745.3,A4,추세 전환 시도 중
484880,SOL 금융지주플러스고배당,18665,-1.01,0.89,-17.57,236.5,A4,추세 전환 시도 중
218420,KODEX 미국S&P500에너지(합성),16915,0.0,1.2,-17.63,185.2,A3,추세 전환 시도 중
