날짜,시가,고가,저가,종가,거래량,등락률,ticker,name
2025-12-16,51085,51085,51085,51085,1,0.01957905041605482,495710,BNK 26-06 특수채(AAA이상)액티브
2025-12-17,51090,51090,51090,51090,1,0.00978760888714887,495710,BNK 26-06 특수채(AAA이상)액티브
2025-12-18,51090,51105,51090,51105,11,0.02935995302407516,495710,BNK 26-06 특수채(AAA이상)액티브
2025-12-19,51110,51110,51110,51110,1,0.009783778495254867,495710,BNK 26-06 특수채(AAA이상)액티브
2025-12-22,51085,51110,51085,51110,257,0.0,495710,BNK 26-06 특수채(AAA이상)액티브
2025-12-23,51110,51110,51110,51110,1,0.0,495710,BNK 26-06 특수채(AAA이상)액티브
2025-12-24,51140,51140,51140,51140,1,0.05869692819409117,495710,BNK 26-06 특수채(AAA이상)액티브
2025-12-26,51140,51140,51140,51140,1,0.0,495710,BNK 26-06 특수채(AAA이상)액티브
2025-12-29,51130,51155,51130,51155,108,0.02933124755572937,495710,BNK 26-06 특수채(AAA이상)액티브
2025-12-30,51150,51170,51150,51170,9,0.029322646857589677,495710,BNK 26-06 특수채(AAA이상)액티브
2026-01-02,51170,51170,51170,51170,288,0.0,495710,BNK 26-06 특수채(AAA이상)액티브
2026-01-05,51180,51180,51180,51180,1,0.019542700801250732,495710,BNK 26-06 특수채(AAA이상)액티브
2026-01-06,51190,51190,51190,51190,1,0.019538882375928098,495710,BNK 26-06 특수채(AAA이상)액티브
2026-01-07,51195,51195,51195,51195,1,0.009767532721234616,495710,BNK 26-06 특수채(AAA이상)액티브
2026-01-08,51185,51210,51185,51210,3,0.02929973630237328,495710,BNK 26-06 특수채(AAA이상)액티브
2026-01-09,51215,51215,51215,51215,1,0.009763718023823472,495710,BNK 26-06 특수채(AAA이상)액티브
2026-01-12,51210,51220,51195,51220,241,0.009762764814995606,495710,BNK 26-06 특수채(AAA이상)액티브
2026-01-13,51225,51225,51225,51225,3,0.009761811792268645,495710,BNK 26-06 특수채(AAA이상)액티브
2026-01-14,51225,51225,51225,51225,1,0.0,495710,BNK 26-06 특수채(AAA이상)액티브
2026-01-15,51240,51240,51240,51240,1,0.029282576866764276,495710,BNK 26-06 특수채(AAA이상)액티브
2026-01-16,51240,51240,51240,51240,3,0.0,495710,BNK 26-06 특수채(AAA이상)액티브
2026-01-19,51240,51240,51240,51240,1,0.0,495710,BNK 26-06 특수채(AAA이상)액티브
2026-01-20,51240,51240,51240,51240,1,0.0,495710,BNK 26-06 특수채(AAA이상)액티브
2026-01-21,51240,51240,51240,51240,1,0.0,495710,BNK 26-06 특수채(AAA이상)액티브
2026-01-22,51240,51240,51240,51240,1,0.0,495710,BNK 26-06 특수채(AAA이상)액티브
2026-01-23,51260,51260,51260,51260,1,0.039032006245121,495710,BNK 26-06 특수채(AAA이상)액티브
2026-01-26,51240,51265,51240,51265,199,0.009754194303550527,495710,BNK 26-06 특수채(AAA이상)액티브
2026-01-27,51265,51265,51265,51265,9,0.0,495710,BNK 26-06 특수채(AAA이상)액티브
2026-01-28,51270,51270,51270,51270,1,0.009753242953281966,495710,BNK 26-06 특수채(AAA이상)액티브
2026-01-29,51280,51280,51280,51280,1,0.01950458357714063,495710,BNK 26-06 특수채(AAA이상)액티브
2025-12-16,6780,6780,6350,6390,43223,-5.752212389380531,466810,BNK 2차전지양극재
2025-12-17,6430,6525,6345,6430,30056,0.6259780907668232,466810,BNK 2차전지양극재
2025-12-18,6165,6185,6025,6025,62931,-6.298600311041991,466810,BNK 2차전지양극재
2025-12-19,6050,6050,5790,6005,67864,-0.33195020746887965,466810,BNK 2차전지양극재
2025-12-22,6060,6130,6000,6100,58411,1.5820149875104081,466810,BNK 2차전지양극재
2025-12-23,6120,6135,6050,6080,15232,-0.32786885245901637,466810,BNK 2차전지양극재
2025-12-24,6085,6165,6070,6095,23810,0.24671052631578946,466810,BNK 2차전지양극재
2025-12-26,6070,6135,5960,5995,40307,-1.6406890894175554,466810,BNK 2차전지양극재
2025-12-29,5845,6020,5815,5975,48810,-0.3336113427856547,466810,BNK 2차전지양극재
2025-12-30,5890,5970,5690,5720,68740,-4.2677824267782425,466810,BNK 2차전지양극재
2026-01-02,5660,5665,5540,5565,95990,-2.7097902097902096,466810,BNK 2차전지양극재
2026-01-05,5515,5765,5515,5710,84958,2.605570530098832,466810,BNK 2차전지양극재
2026-01-06,5850,5880,5785,5810,87430,1.7513134851138354,466810,BNK 2차전지양극재
2026-01-07,5835,5910,5675,5740,56519,-1.2048192771084338,466810,BNK 2차전지양극재
