ticker,name,price_curr,change_1d,return_1w,alpha_1m,rvol,grade_score,description,macro_json,sentiment_json,combined_at
243880,TIGER 200IT레버리지,227435,5.53,34.0,46.55,337.2,S10,천하무적: 시장의 주도주,"{""Ticker"": ""^SOX"", ""2026-01-12"": 7674.83984375, ""2026-01-13"": 7747.990234375, ""2026-01-14"": 7701.47021484375, ""2026-01-15"": 7837.2998046875, ""2026-01-16"": 7927.41015625, ""2026-01-19"": NaN, ""2026-01-20"": 7794.18994140625, ""2026-01-21"": 8042.06982421875, ""2026-01-22"": 8055.169921875, ""2026-01-23"": 7957.93017578125, ""2026-01-26"": 7927.0400390625, ""2026-01-27"": 8117.18017578125, ""2026-01-28"": 8306.740234375, ""2026-01-29"": 8320.3896484375, ""2026-01-30"": 7998.47021484375, ""2026-02-02"": 8134.490234375, ""2026-02-03"": 7966.330078125, ""2026-02-04"": 7619.16015625, ""2026-02-05"": 7614.64013671875, ""2026-02-06"": 8048.6201171875, ""2026-02-09"": 8162.580078125, ""2026-02-10"": 8107.1298828125, ""2026-02-11"": 8291.8603515625, ""2026-02-12"": 8084.7001953125, ""2026-02-13"": 8137.85986328125, ""2026-02-16"": NaN, ""2026-02-17"": 8136.0498046875, ""2026-02-18"": 8214.349609375, ""2026-02-19"": 8173.2998046875, ""2026-02-20"": 8260.419921875, ""2026-02-23"": 8213.4599609375, ""2026-02-24"": 8332.33984375, ""2026-02-25"": 8467.4296875}","{""metric"": ""Market_ADR"", ""2026-01-12"": 131.65, ""2026-01-13"": 81.94, ""2026-01-14"": 138.21, ""2026-01-15"": 106.74, ""2026-01-16"": 60.28, ""2026-01-19"": 82.11, ""2026-01-20"": 282.72, ""2026-01-21"": 54.03, ""2026-01-22"": 136.53, ""2026-01-23"": 212.46, ""2026-01-26"": 107.47, ""2026-01-27"": 93.31, ""2026-01-28"": 71.24, ""2026-01-29"": 193.49, ""2026-01-30"": 52.94, ""2026-02-02"": 19.67, ""2026-02-03"": 373.71, ""2026-02-04"": 455.95, ""2026-02-05"": 58.41, ""2026-02-06"": 82.47, ""2026-02-09"": 158.52, ""2026-02-10"": 197.73, ""2026-02-11"": 110.44, ""2026-02-12"": 147.57, ""2026-02-13"": 83.67, ""2026-02-19"": 166.86, ""2026-02-20"": 140.26, ""2026-02-23"": 93.32, ""2026-02-24"": 90.62, ""2026-02-25"": 74.19}",2026-02-25 23:55
494310,KODEX 반도체레버리지,68155,1.41,18.06,33.6,76.1,S7,천하무적: 시장의 주도주,"{""Ticker"": ""^SOX"", ""2026-01-12"": 7674.83984375, ""2026-01-13"": 7747.990234375, ""2026-01-14"": 7701.47021484375, ""2026-01-15"": 7837.2998046875, ""2026-01-16"": 7927.41015625, ""2026-01-19"": NaN, ""2026-01-20"": 7794.18994140625, ""2026-01-21"": 8042.06982421875, ""2026-01-22"": 8055.169921875, ""2026-01-23"": 7957.93017578125, ""2026-01-26"": 7927.0400390625, ""2026-01-27"": 8117.18017578125, ""2026-01-28"": 8306.740234375, ""2026-01-29"": 8320.3896484375, ""2026-01-30"": 7998.47021484375, ""2026-02-02"": 8134.490234375, ""2026-02-03"": 7966.330078125, ""2026-02-04"": 7619.16015625, ""2026-02-05"": 7614.64013671875, ""2026-02-06"": 8048.6201171875, ""2026-02-09"": 8162.580078125, ""2026-02-10"": 8107.1298828125, ""2026-02-11"": 8291.8603515625, ""2026-02-12"": 8084.7001953125, ""2026-02-13"": 8137.85986328125, ""2026-02-16"": NaN, ""2026-02-17"": 8136.0498046875, ""2026-02-18"": 8214.349609375, ""2026-02-19"": 8173.2998046875, ""2026-02-20"": 8260.419921875, ""2026-02-23"": 8213.4599609375, ""2026-02-24"": 8332.33984375, ""2026-02-25"": 8467.4296875}","{""metric"": ""Market_ADR"", ""2026-01-12"": 131.65, ""2026-01-13"": 81.94, ""2026-01-14"": 138.21, ""2026-01-15"": 106.74, ""2026-01-16"": 60.28, ""2026-01-19"": 82.11, ""2026-01-20"": 282.72, ""2026-01-21"": 54.03, ""2026-01-22"": 136.53, ""2026-01-23"": 212.46, ""2026-01-26"": 107.47, ""2026-01-27"": 93.31, ""2026-01-28"": 71.24, ""2026-01-29"": 193.49, ""2026-01-30"": 52.94, ""2026-02-02"": 19.67, ""2026-02-03"": 373.71, ""2026-02-04"": 455.95, ""2026-02-05"": 58.41, ""2026-02-06"": 82.47, ""2026-02-09"": 158.52, ""2026-02-10"": 197.73, ""2026-02-11"": 110.44, ""2026-02-12"": 147.57, ""2026-02-13"": 83.67, ""2026-02-19"": 166.86, ""2026-02-20"": 140.26, ""2026-02-23"": 93.32, ""2026-02-24"": 90.62, ""2026-02-25"": 74.19}",2026-02-25 23:55
102970,KODEX 증권,29540,3.11,10.99,32.45,143.1,S8,천하무적: 시장의 주도주,"{""Ticker"": ""^SOX"", ""2026-01-12"": 7674.83984375, ""2026-01-13"": 7747.990234375, ""2026-01-14"": 7701.47021484375, ""2026-01-15"": 7837.2998046875, ""2026-01-16"": 7927.41015625, ""2026-01-19"": NaN, ""2026-01-20"": 7794.18994140625, ""2026-01-21"": 8042.06982421875, ""2026-01-22"": 8055.169921875, ""2026-01-23"": 7957.93017578125, ""2026-01-26"": 7927.0400390625, ""2026-01-27"": 8117.18017578125, ""2026-01-28"": 8306.740234375, ""2026-01-29"": 8320.3896484375, ""2026-01-30"": 7998.47021484375, ""2026-02-02"": 8134.490234375, ""2026-02-03"": 7966.330078125, ""2026-02-04"": 7619.16015625, ""2026-02-05"": 7614.64013671875, ""2026-02-06"": 8048.6201171875, ""2026-02-09"": 8162.580078125, ""2026-02-10"": 8107.1298828125, ""2026-02-11"": 8291.8603515625, ""2026-02-12"": 8084.7001953125, ""2026-02-13"": 8137.85986328125, ""2026-02-16"": NaN, ""2026-02-17"": 8136.0498046875, ""2026-02-18"": 8214.349609375, ""2026-02-19"": 8173.2998046875, ""2026-02-20"": 8260.419921875, ""2026-02-23"": 8213.4599609375, ""2026-02-24"": 8332.33984375, ""2026-02-25"": 8467.4296875}","{""metric"": ""Market_ADR"", ""2026-01-12"": 131.65, ""2026-01-13"": 81.94, ""2026-01-14"": 138.21, ""2026-01-15"": 106.74, ""2026-01-16"": 60.28, ""2026-01-19"": 82.11, ""2026-01-20"": 282.72, ""2026-01-21"": 54.03, ""2026-01-22"": 136.53, ""2026-01-23"": 212.46, ""2026-01-26"": 107.47, ""2026-01-27"": 93.31, ""2026-01-28"": 71.24, ""2026-01-29"": 193.49, ""2026-01-30"": 52.94, ""2026-02-02"": 19.67, ""2026-02-03"": 373.71, ""2026-02-04"": 455.95, ""2026-02-05"": 58.41, ""2026-02-06"": 82.47, ""2026-02-09"": 158.52, ""2026-02-10"": 197.73, ""2026-02-11"": 110.44, ""2026-02-12"": 147.57, ""2026-02-13"": 83.67, ""2026-02-19"": 166.86, ""2026-02-20"": 140.26, ""2026-02-23"": 93.32, ""2026-02-24"": 90.62, ""2026-02-25"": 74.19}",2026-02-25 23:55
157500,TIGER 증권,20310,3.78,10.38,32.44,150.3,B8,황금 눌림목: 최적 매수 타점,"{""Ticker"": ""^SOX"", ""2026-01-12"": 7674.83984375, ""2026-01-13"": 7747.990234375, ""2026-01-14"": 7701.47021484375, ""2026-01-15"": 7837.2998046875, ""2026-01-16"": 7927.41015625, ""2026-01-19"": NaN, ""2026-01-20"": 7794.18994140625, ""2026-01-21"": 8042.06982421875, ""2026-01-22"": 8055.169921875, ""2026-01-23"": 7957.93017578125, ""2026-01-26"": 7927.0400390625, ""2026-01-27"": 8117.18017578125, ""2026-01-28"": 8306.740234375, ""2026-01-29"": 8320.3896484375, ""2026-01-30"": 7998.47021484375, ""2026-02-02"": 8134.490234375, ""2026-02-03"": 7966.330078125, ""2026-02-04"": 7619.16015625, ""2026-02-05"": 7614.64013671875, ""2026-02-06"": 8048.6201171875, ""2026-02-09"": 8162.580078125, ""2026-02-10"": 8107.1298828125, ""2026-02-11"": 8291.8603515625, ""2026-02-12"": 8084.7001953125, ""2026-02-13"": 8137.85986328125, ""2026-02-16"": NaN, ""2026-02-17"": 8136.0498046875, ""2026-02-18"": 8214.349609375, ""2026-02-19"": 8173.2998046875, ""2026-02-20"": 8260.419921875, ""2026-02-23"": 8213.4599609375, ""2026-02-24"": 8332.33984375, ""2026-02-25"": 8467.4296875}","{""metric"": ""Market_ADR"", ""2026-01-12"": 131.65, ""2026-01-13"": 81.94, ""2026-01-14"": 138.21, ""2026-01-15"": 106.74, ""2026-01-16"": 60.28, ""2026-01-19"": 82.11, ""2026-01-20"": 282.72, ""2026-01-21"": 54.03, ""2026-01-22"": 136.53, ""2026-01-23"": 212.46, ""2026-01-26"": 107.47, ""2026-01-27"": 93.31, ""2026-01-28"": 71.24, ""2026-01-29"": 193.49, ""2026-01-30"": 52.94, ""2026-02-02"": 19.67, ""2026-02-03"": 373.71, ""2026-02-04"": 455.95, ""2026-02-05"": 58.41, ""2026-02-06"": 82.47, ""2026-02-09"": 158.52, ""2026-02-10"": 197.73, ""2026-02-11"": 110.44, ""2026-02-12"": 147.57, ""2026-02-13"": 83.67, ""2026-02-19"": 166.86, ""2026-02-20"": 140.26, ""2026-02-23"": 93.32, ""2026-02-24"": 90.62, ""2026-02-25"": 74.19}",2026-02-25 23:55
0111J0,HANARO 증권고배당TOP3플러스,19470,3.34,10.97,32.4,114.3,S7,천하무적: 시장의 주도주,"{""Ticker"": ""^SOX"", ""2026-01-12"": 7674.83984375, ""2026-01-13"": 7747.990234375, ""2026-01-14"": 7701.47021484375, ""2026-01-15"": 7837.2998046875, ""2026-01-16"": 7927.41015625, ""2026-01-19"": NaN, ""2026-01-20"": 7794.18994140625, ""2026-01-21"": 8042.06982421875, ""2026-01-22"": 8055.169921875, ""2026-01-23"": 7957.93017578125, ""2026-01-26"": 7927.0400390625, ""2026-01-27"": 8117.18017578125, ""2026-01-28"": 8306.740234375, ""2026-01-29"": 8320.3896484375, ""2026-01-30"": 7998.47021484375, ""2026-02-02"": 8134.490234375, ""2026-02-03"": 7966.330078125, ""2026-02-04"": 7619.16015625, ""2026-02-05"": 7614.64013671875, ""2026-02-06"": 8048.6201171875, ""2026-02-09"": 8162.580078125, ""2026-02-10"": 8107.1298828125, ""2026-02-11"": 8291.8603515625, ""2026-02-12"": 8084.7001953125, ""2026-02-13"": 8137.85986328125, ""2026-02-16"": NaN, ""2026-02-17"": 8136.0498046875, ""2026-02-18"": 8214.349609375, ""2026-02-19"": 8173.2998046875, ""2026-02-20"": 8260.419921875, ""2026-02-23"": 8213.4599609375, ""2026-02-24"": 8332.33984375, ""2026-02-25"": 8467.4296875}","{""metric"": ""Market_ADR"", ""2026-01-12"": 131.65, ""2026-01-13"": 81.94, ""2026-01-14"": 138.21, ""2026-01-15"": 106.74, ""2026-01-16"": 60.28, ""2026-01-19"": 82.11, ""2026-01-20"": 282.72, ""2026-01-21"": 54.03, ""2026-01-22"": 136.53, ""2026-01-23"": 212.46, ""2026-01-26"": 107.47, ""2026-01-27"": 93.31, ""2026-01-28"": 71.24, ""2026-01-29"": 193.49, ""2026-01-30"": 52.94, ""2026-02-02"": 19.67, ""2026-02-03"": 373.71, ""2026-02-04"": 455.95, ""2026-02-05"": 58.41, ""2026-02-06"": 82.47, ""2026-02-09"": 158.52, ""2026-02-10"": 197.73, ""2026-02-11"": 110.44, ""2026-02-12"": 147.57, ""2026-02-13"": 83.67, ""2026-02-19"": 166.86, ""2026-02-20"": 140.26, ""2026-02-23"": 93.32, ""2026-02-24"": 90.62, ""2026-02-25"": 74.19}",2026-02-25 23:55
488080,TIGER 반도체TOP10레버리지,42090,1.76,18.76,31.77,73.6,S7,천하무적: 시장의 주도주,"{""Ticker"": ""^SOX"", ""2026-01-12"": 7674.83984375, ""2026-01-13"": 7747.990234375, ""2026-01-14"": 7701.47021484375, ""2026-01-15"": 7837.2998046875, ""2026-01-16"": 7927.41015625, ""2026-01-19"": NaN, ""2026-01-20"": 7794.18994140625, ""2026-01-21"": 8042.06982421875, ""2026-01-22"": 8055.169921875, ""2026-01-23"": 7957.93017578125, ""2026-01-26"": 7927.0400390625, ""2026-01-27"": 8117.18017578125, ""2026-01-28"": 8306.740234375, ""2026-01-29"": 8320.3896484375, ""2026-01-30"": 7998.47021484375, ""2026-02-02"": 8134.490234375, ""2026-02-03"": 7966.330078125, ""2026-02-04"": 7619.16015625, ""2026-02-05"": 7614.64013671875, ""2026-02-06"": 8048.6201171875, ""2026-02-09"": 8162.580078125, ""2026-02-10"": 8107.1298828125, ""2026-02-11"": 8291.8603515625, ""2026-02-12"": 8084.7001953125, ""2026-02-13"": 8137.85986328125, ""2026-02-16"": NaN, ""2026-02-17"": 8136.0498046875, ""2026-02-18"": 8214.349609375, ""2026-02-19"": 8173.2998046875, ""2026-02-20"": 8260.419921875, ""2026-02-23"": 8213.4599609375, ""2026-02-24"": 8332.33984375, ""2026-02-25"": 8467.4296875}","{""metric"": ""Market_ADR"", ""2026-01-12"": 131.65, ""2026-01-13"": 81.94, ""2026-01-14"": 138.21, ""2026-01-15"": 106.74, ""2026-01-16"": 60.28, ""2026-01-19"": 82.11, ""2026-01-20"": 282.72, ""2026-01-21"": 54.03, ""2026-01-22"": 136.53, ""2026-01-23"": 212.46, ""2026-01-26"": 107.47, ""2026-01-27"": 93.31, ""2026-01-28"": 71.24, ""2026-01-29"": 193.49, ""2026-01-30"": 52.94, ""2026-02-02"": 19.67, ""2026-02-03"": 373.71, ""2026-02-04"": 455.95, ""2026-02-05"": 58.41, ""2026-02-06"": 82.47, ""2026-02-09"": 158.52, ""2026-02-10"": 197.73, ""2026-02-11"": 110.44, ""2026-02-12"": 147.57, ""2026-02-13"": 83.67, ""2026-02-19"": 166.86, ""2026-02-20"": 140.26, ""2026-02-23"": 93.32, ""2026-02-24"": 90.62, ""2026-02-25"": 74.19}",2026-02-25 23:55
152500,ACE 레버리지,42320,4.64,23.45,28.7,253.7,S10,천하무적: 시장의 주도주,"{""Ticker"": ""^SOX"", ""2026-01-12"": 7674.83984375, ""2026-01-13"": 7747.990234375, ""2026-01-14"": 7701.47021484375, ""2026-01-15"": 7837.2998046875, ""2026-01-16"": 7927.41015625, ""2026-01-19"": NaN, ""2026-01-20"": 7794.18994140625, ""2026-01-21"": 8042.06982421875, ""2026-01-22"": 8055.169921875, ""2026-01-23"": 7957.93017578125, ""2026-01-26"": 7927.0400390625, ""2026-01-27"": 8117.18017578125, ""2026-01-28"": 8306.740234375, ""2026-01-29"": 8320.3896484375, ""2026-01-30"": 7998.47021484375, ""2026-02-02"": 8134.490234375, ""2026-02-03"": 7966.330078125, ""2026-02-04"": 7619.16015625, ""2026-02-05"": 7614.64013671875, ""2026-02-06"": 8048.6201171875, ""2026-02-09"": 8162.580078125, ""2026-02-10"": 8107.1298828125, ""2026-02-11"": 8291.8603515625, ""2026-02-12"": 8084.7001953125, ""2026-02-13"": 8137.85986328125, ""2026-02-16"": NaN, ""2026-02-17"": 8136.0498046875, ""2026-02-18"": 8214.349609375, ""2026-02-19"": 8173.2998046875, ""2026-02-20"": 8260.419921875, ""2026-02-23"": 8213.4599609375, ""2026-02-24"": 8332.33984375, ""2026-02-25"": 8467.4296875}","{""metric"": ""Market_ADR"", ""2026-01-12"": 131.65, ""2026-01-13"": 81.94, ""2026-01-14"": 138.21, ""2026-01-15"": 106.74, ""2026-01-16"": 60.28, ""2026-01-19"": 82.11, ""2026-01-20"": 282.72, ""2026-01-21"": 54.03, ""2026-01-22"": 136.53, ""2026-01-23"": 212.46, ""2026-01-26"": 107.47, ""2026-01-27"": 93.31, ""2026-01-28"": 71.24, ""2026-01-29"": 193.49, ""2026-01-30"": 52.94, ""2026-02-02"": 19.67, ""2026-02-03"": 373.71, ""2026-02-04"": 455.95, ""2026-02-05"": 58.41, ""2026-02-06"": 82.47, ""2026-02-09"": 158.52, ""2026-02-10"": 197.73, ""2026-02-11"": 110.44, ""2026-02-12"": 147.57, ""2026-02-13"": 83.67, ""2026-02-19"": 166.86, ""2026-02-20"": 140.26, ""2026-02-23"": 93.32, ""2026-02-24"": 90.62, ""2026-02-25"": 74.19}",2026-02-25 23:55
123320,TIGER 레버리지,103180,4.41,23.14,28.32,59.6,S7,천하무적: 시장의 주도주,"{""Ticker"": ""^SOX"", ""2026-01-12"": 7674.83984375, ""2026-01-13"": 7747.990234375, ""2026-01-14"": 7701.47021484375, ""2026-01-15"": 7837.2998046875, ""2026-01-16"": 7927.41015625, ""2026-01-19"": NaN, ""2026-01-20"": 7794.18994140625, ""2026-01-21"": 8042.06982421875, ""2026-01-22"": 8055.169921875, ""2026-01-23"": 7957.93017578125, ""2026-01-26"": 7927.0400390625, ""2026-01-27"": 8117.18017578125, ""2026-01-28"": 8306.740234375, ""2026-01-29"": 8320.3896484375, ""2026-01-30"": 7998.47021484375, ""2026-02-02"": 8134.490234375, ""2026-02-03"": 7966.330078125, ""2026-02-04"": 7619.16015625, ""2026-02-05"": 7614.64013671875, ""2026-02-06"": 8048.6201171875, ""2026-02-09"": 8162.580078125, ""2026-02-10"": 8107.1298828125, ""2026-02-11"": 8291.8603515625, ""2026-02-12"": 8084.7001953125, ""2026-02-13"": 8137.85986328125, ""2026-02-16"": NaN, ""2026-02-17"": 8136.0498046875, ""2026-02-18"": 8214.349609375, ""2026-02-19"": 8173.2998046875, ""2026-02-20"": 8260.419921875, ""2026-02-23"": 8213.4599609375, ""2026-02-24"": 8332.33984375, ""2026-02-25"": 8467.4296875}","{""metric"": ""Market_ADR"", ""2026-01-12"": 131.65, ""2026-01-13"": 81.94, ""2026-01-14"": 138.21, ""2026-01-15"": 106.74, ""2026-01-16"": 60.28, ""2026-01-19"": 82.11, ""2026-01-20"": 282.72, ""2026-01-21"": 54.03, ""2026-01-22"": 136.53, ""2026-01-23"": 212.46, ""2026-01-26"": 107.47, ""2026-01-27"": 93.31, ""2026-01-28"": 71.24, ""2026-01-29"": 193.49, ""2026-01-30"": 52.94, ""2026-02-02"": 19.67, ""2026-02-03"": 373.71, ""2026-02-04"": 455.95, ""2026-02-05"": 58.41, ""2026-02-06"": 82.47, ""2026-02-09"": 158.52, ""2026-02-10"": 197.73, ""2026-02-11"": 110.44, ""2026-02-12"": 147.57, ""2026-02-13"": 83.67, ""2026-02-19"": 166.86, ""2026-02-20"": 140.26, ""2026-02-23"": 93.32, ""2026-02-24"": 90.62, ""2026-02-25"": 74.19}",2026-02-25 23:55
122630,KODEX 레버리지,104070,4.06,22.99,28.29,97.8,S8,천하무적: 시장의 주도주,"{""Ticker"": ""^SOX"", ""2026-01-12"": 7674.83984375, ""2026-01-13"": 7747.990234375, ""2026-01-14"": 7701.47021484375, ""2026-01-15"": 7837.2998046875, ""2026-01-16"": 7927.41015625, ""2026-01-19"": NaN, ""2026-01-20"": 7794.18994140625, ""2026-01-21"": 8042.06982421875, ""2026-01-22"": 8055.169921875, ""2026-01-23"": 7957.93017578125, ""2026-01-26"": 7927.0400390625, ""2026-01-27"": 8117.18017578125, ""2026-01-28"": 8306.740234375, ""2026-01-29"": 8320.3896484375, ""2026-01-30"": 7998.47021484375, ""2026-02-02"": 8134.490234375, ""2026-02-03"": 7966.330078125, ""2026-02-04"": 7619.16015625, ""2026-02-05"": 7614.64013671875, ""2026-02-06"": 8048.6201171875, ""2026-02-09"": 8162.580078125, ""2026-02-10"": 8107.1298828125, ""2026-02-11"": 8291.8603515625, ""2026-02-12"": 8084.7001953125, ""2026-02-13"": 8137.85986328125, ""2026-02-16"": NaN, ""2026-02-17"": 8136.0498046875, ""2026-02-18"": 8214.349609375, ""2026-02-19"": 8173.2998046875, ""2026-02-20"": 8260.419921875, ""2026-02-23"": 8213.4599609375, ""2026-02-24"": 8332.33984375, ""2026-02-25"": 8467.4296875}","{""metric"": ""Market_ADR"", ""2026-01-12"": 131.65, ""2026-01-13"": 81.94, ""2026-01-14"": 138.21, ""2026-01-15"": 106.74, ""2026-01-16"": 60.28, ""2026-01-19"": 82.11, ""2026-01-20"": 282.72, ""2026-01-21"": 54.03, ""2026-01-22"": 136.53, ""2026-01-23"": 212.46, ""2026-01-26"": 107.47, ""2026-01-27"": 93.31, ""2026-01-28"": 71.24, ""2026-01-29"": 193.49, ""2026-01-30"": 52.94, ""2026-02-02"": 19.67, ""2026-02-03"": 373.71, ""2026-02-04"": 455.95, ""2026-02-05"": 58.41, ""2026-02-06"": 82.47, ""2026-02-09"": 158.52, ""2026-02-10"": 197.73, ""2026-02-11"": 110.44, ""2026-02-12"": 147.57, ""2026-02-13"": 83.67, ""2026-02-19"": 166.86, ""2026-02-20"": 140.26, ""2026-02-23"": 93.32, ""2026-02-24"": 90.62, ""2026-02-25"": 74.19}",2026-02-25 23:55
253150,PLUS 200선물레버리지,191225,4.0,22.81,28.25,227.2,S10,천하무적: 시장의 주도주,"{""Ticker"": ""^SOX"", ""2026-01-12"": 7674.83984375, ""2026-01-13"": 7747.990234375, ""2026-01-14"": 7701.47021484375, ""2026-01-15"": 7837.2998046875, ""2026-01-16"": 7927.41015625, ""2026-01-19"": NaN, ""2026-01-20"": 7794.18994140625, ""2026-01-21"": 8042.06982421875, ""2026-01-22"": 8055.169921875, ""2026-01-23"": 7957.93017578125, ""2026-01-26"": 7927.0400390625, ""2026-01-27"": 8117.18017578125, ""2026-01-28"": 8306.740234375, ""2026-01-29"": 8320.3896484375, ""2026-01-30"": 7998.47021484375, ""2026-02-02"": 8134.490234375, ""2026-02-03"": 7966.330078125, ""2026-02-04"": 7619.16015625, ""2026-02-05"": 7614.64013671875, ""2026-02-06"": 8048.6201171875, ""2026-02-09"": 8162.580078125, ""2026-02-10"": 8107.1298828125, ""2026-02-11"": 8291.8603515625, ""2026-02-12"": 8084.7001953125, ""2026-02-13"": 8137.85986328125, ""2026-02-16"": NaN, ""2026-02-17"": 8136.0498046875, ""2026-02-18"": 8214.349609375, ""2026-02-19"": 8173.2998046875, ""2026-02-20"": 8260.419921875, ""2026-02-23"": 8213.4599609375, ""2026-02-24"": 8332.33984375, ""2026-02-25"": 8467.4296875}","{""metric"": ""Market_ADR"", ""2026-01-12"": 131.65, ""2026-01-13"": 81.94, ""2026-01-14"": 138.21, ""2026-01-15"": 106.74, ""2026-01-16"": 60.28, ""2026-01-19"": 82.11, ""2026-01-20"": 282.72, ""2026-01-21"": 54.03, ""2026-01-22"": 136.53, ""2026-01-23"": 212.46, ""2026-01-26"": 107.47, ""2026-01-27"": 93.31, ""2026-01-28"": 71.24, ""2026-01-29"": 193.49, ""2026-01-30"": 52.94, ""2026-02-02"": 19.67, ""2026-02-03"": 373.71, ""2026-02-04"": 455.95, ""2026-02-05"": 58.41, ""2026-02-06"": 82.47, ""2026-02-09"": 158.52, ""2026-02-10"": 197.73, ""2026-02-11"": 110.44, ""2026-02-12"": 147.57, ""2026-02-13"": 83.67, ""2026-02-19"": 166.86, ""2026-02-20"": 140.26, ""2026-02-23"": 93.32, ""2026-02-24"": 90.62, ""2026-02-25"": 74.19}",2026-02-25 23:55
